product_name,brand,manufacturer,fulfilled_by,category,subcategory,product_code,pack_quantity,pack_uom,pack_size,mrp,dlp_price_inclusive_tax,specifications,application,description,source_product_url,source_image_url
"4ST SN","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","4ST SN","","900","ml","900 ml","","","Viscosity Grade: SAE 10W-30 / 20W-40 / 20W-50 | Specification: API SN, JASO MA2","","PENSOL 4ST SN is a synthetic technology premium 4 stroke engine oil specially designed for high RPM motorbikes. This oil is suitable for motorbikes meeting BS VI & earlier emission norms. It meets JASO T 903:2016 standard.","https://pensol.com/4ST_SN.html","https://pensol.com/img/4st_sn.jpg"
"4ST SN","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","4ST SN","","1","L","1 L","","","Viscosity Grade: SAE 10W-30 / 20W-40 / 20W-50 | Specification: API SN, JASO MA2","","PENSOL 4ST SN is a synthetic technology premium 4 stroke engine oil specially designed for high RPM motorbikes. This oil is suitable for motorbikes meeting BS VI & earlier emission norms. It meets JASO T 903:2016 standard.","https://pensol.com/4ST_SN.html","https://pensol.com/img/4st_sn.jpg"
"4ST SN","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","4ST SN","","55","L","55 L","","","Viscosity Grade: SAE 10W-30 / 20W-40 / 20W-50 | Specification: API SN, JASO MA2","","PENSOL 4ST SN is a synthetic technology premium 4 stroke engine oil specially designed for high RPM motorbikes. This oil is suitable for motorbikes meeting BS VI & earlier emission norms. It meets JASO T 903:2016 standard.","https://pensol.com/4ST_SN.html","https://pensol.com/img/4st_sn.jpg"
"4ST SN","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","4ST SN","","210","L","210 L","","","Viscosity Grade: SAE 10W-30 / 20W-40 / 20W-50 | Specification: API SN, JASO MA2","","PENSOL 4ST SN is a synthetic technology premium 4 stroke engine oil specially designed for high RPM motorbikes. This oil is suitable for motorbikes meeting BS VI & earlier emission norms. It meets JASO T 903:2016 standard.","https://pensol.com/4ST_SN.html","https://pensol.com/img/4st_sn.jpg"
"4ST SM","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","4ST SM","","900","ml","900 ml","","","Viscosity Grade: SAE 10W-30 / 20W-40 / 15W-50 | Specification: API SM, JASO MA2","","PENSOL 4ST SM is a synthetic technology 4 stroke engine oil specially designed for high performance motorbikes. This oil ensures that your engine delivers high power and torque, improving control and comfort. It meets JASO T 903:2016 standard.","https://pensol.com/4ST_SM.html","https://pensol.com/img/4st_sm.jpg"
"4ST SM","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","4ST SM","","1","L","1 L","","","Viscosity Grade: SAE 10W-30 / 20W-40 / 15W-50 | Specification: API SM, JASO MA2","","PENSOL 4ST SM is a synthetic technology 4 stroke engine oil specially designed for high performance motorbikes. This oil ensures that your engine delivers high power and torque, improving control and comfort. It meets JASO T 903:2016 standard.","https://pensol.com/4ST_SM.html","https://pensol.com/img/4st_sm.jpg"
"4ST SM","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","4ST SM","","55","L","55 L","","","Viscosity Grade: SAE 10W-30 / 20W-40 / 15W-50 | Specification: API SM, JASO MA2","","PENSOL 4ST SM is a synthetic technology 4 stroke engine oil specially designed for high performance motorbikes. This oil ensures that your engine delivers high power and torque, improving control and comfort. It meets JASO T 903:2016 standard.","https://pensol.com/4ST_SM.html","https://pensol.com/img/4st_sm.jpg"
"4ST SM","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","4ST SM","","210","L","210 L","","","Viscosity Grade: SAE 10W-30 / 20W-40 / 15W-50 | Specification: API SM, JASO MA2","","PENSOL 4ST SM is a synthetic technology 4 stroke engine oil specially designed for high performance motorbikes. This oil ensures that your engine delivers high power and torque, improving control and comfort. It meets JASO T 903:2016 standard.","https://pensol.com/4ST_SM.html","https://pensol.com/img/4st_sm.jpg"
"4ST EXTRA SL","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","4ST EXTRA SL","","900","ml","900 ml","","","Viscosity Grade: SAE 10W-30 / 20W-40 | Specification: API SL, JASO MA2","","PENSOL 4ST EXTRA SL is a high quality 4 stroke engine oil specially developed for standard motorbikes. Its high oil performance reliability helps to protect and clean your engine and prolong its life cycle with least maintenance.","https://pensol.com/4ST_EXTRA_SL.html","https://pensol.com/img/4st_extra_sl.jpg"
"4ST EXTRA SL","Pensol","PENSOL INDUSTRIES LIMITED","Hind Motors","MOTORBIKE OILS","4ST EXTRA SL","","1","L","1 L","","","Viscosity Grade: SAE 10W-30 / 20W-40 | Specification: API SL, JASO MA2","","PENSOL 4ST EXTRA SL is a high quality 4 stroke engine oil specially developed for standard motorbikes. Its high oil performance reliability helps to protect and clean your engine and prolong its life cycle with least maintenance.","https://pensol.com/4ST_EXTRA_SL.html","https://pensol.com/img/4st_extra_sl.jpg"
